City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
504,moranbah,0,AU,1584413090,36,-22.0,148.05,82.9,17.85
505,mayo,1,US,1584413090,75,38.89,-76.51,46.99,3.36
506,lompoc,20,US,1584413090,76,34.64,-120.46,51.8,3.0
507,lozovik,3,RS,1584413091,63,44.47,21.1,35.47,7.38
508,lázaro cárdenas,0,MX,1584413091,85,17.96,-102.2,75.04,2.33
509,humen,75,CN,1584413091,73,22.82,113.67,73.99,6.71
510,wanning,100,CN,1584413091,75,18.8,110.4,75.2,8.14
511,borogontsy,91,RU,1584413091,93,62.67,131.17,12.36,4.81
512,goundam,0,ML,1584413092,10,16.41,-3.67,76.55,9.91
513,udachny,100,RU,1584413092,83,66.42,112.4,-7.6,8.95
514,san patricio,5,MX,1584413092,83,19.22,-104.7,78.8,5.82
515,onokhoy,75,RU,1584413092,69,51.93,108.07,35.6,4.47
516,mogilno,43,PL,1584413092,92,52.66,17.96,37.0,1.12
517,ende,0,ID,1584413093,66,-8.84,121.66,84.0,5.93
518,najrān,69,SA,1584413093,28,17.49,44.13,69.8,2.24
519,dawei,8,MM,1584413093,74,14.08,98.2,81.32,6.58
520,jesús,0,PY,1584413093,65,-27.05,-55.78,82.4,5.82
521,mount isa,0,AU,1584413094,26,-20.73,139.5,91.4,11.41
522,nizhnyaya tavda,100,RU,1584413094,96,57.67,66.17,30.06,10.31
523,waipawa,100,NZ,1584413094,62,-41.41,175.52,57.2,27.51
524,nome,90,US,1584413094,86,64.5,-165.41,30.2,12.75
525,lae,75,PG,1584412977,70,-6.72,146.98,84.2,4.7
526,yulara,0,AU,1584413094,9,-25.24,130.99,93.2,10.29
527,nakusp,97,CA,1584413095,83,50.25,-117.8,24.01,1.99
528,bacolod city,3,PH,1584413095,37,10.67,122.95,88.68,2.01
529,mazagão,75,BR,1584413095,100,-0.12,-51.29,77.0,5.82
530,marshfield,90,US,1584413095,93,44.67,-90.17,35.6,6.93
531,svetlaya,0,RU,1584413095,65,46.54,138.33,31.1,18.07
532,porto-novo,20,BJ,1584413096,88,6.5,2.6,82.4,12.75
533,malanje,100,AO,1584413096,98,-9.54,16.34,62.51,3.33
534,egvekinot,100,RU,1584413098,96,66.32,-179.17,21.85,6.26
535,puerto del rosario,90,ES,1584413098,67,28.5,-13.86,62.6,23.04
536,ouahigouya,0,BF,1584413098,23,13.58,-2.42,82.09,5.84
537,salekhard,100,RU,1584413099,93,66.53,66.6,20.48,15.03
538,broome,90,US,1584412822,59,42.25,-75.83,41.0,13.87
